Level 1,Level 2,Level 3,Level 4,UOM,GHG,GHG Conversion Factor 2019
Freighting goods,HGV refrigerated (all diesel),All artics,0% Laden,tonne.km,kg CO2e,
Freighting goods,HGV refrigerated (all diesel),All artics,50% Laden,tonne.km,kg CO2e,0.112721052
Freighting goods,HGV refrigerated (all diesel),All artics,100% Laden,tonne.km,kg CO2e,0.06747024
Freighting goods,HGV refrigerated (all diesel),All artics,Average laden,tonne.km,kg CO2e,0.096186641
Freighting goods,HGV refrigerated (all diesel),All HGVs,0% Laden,tonne.km,kg CO2e,
Freighting goods,HGV refrigerated (all diesel),All HGVs,50% Laden,tonne.km,kg CO2e,0.149129737
Freighting goods,HGV refrigerated (all diesel),All HGVs,100% Laden,tonne.km,kg CO2e,0.088669628
Freighting goods,HGV refrigerated (all diesel),All HGVs,Average laden,tonne.km,kg CO2e,0.129086853
Freighting goods,Vans,Class I (up to 1.305 tonnes),Diesel,tonne.km,kg CO2e,0.83071
Freighting goods,Vans,Class I (up to 1.305 tonnes),Petrol,tonne.km,kg CO2e,1.21097
Freighting goods,Vans,Class I (up to 1.305 tonnes),CNG,tonne.km,kg CO2e,
Freighting goods,Vans,Class I (up to 1.305 tonnes),LPG,tonne.km,kg CO2e,
Freighting goods,Vans,Class I (up to 1.305 tonnes),Unknown,tonne.km,kg CO2e,
Freighting goods,Vans,Class I (up to 1.305 tonnes),Plug-in Hybrid Electric Vehicle,tonne.km,kg CO2e,
Freighting goods,Vans,Class I (up to 1.305 tonnes),Battery Electric Vehicle,tonne.km,kg CO2e,0.31405
Freighting goods,Vans,Class II (1.305 to 1.74 tonnes),Diesel,tonne.km,kg CO2e,0.62316
Freighting goods,Vans,Class II (1.305 to 1.74 tonnes),Petrol,tonne.km,kg CO2e,0.75887
Freighting goods,Vans,Class II (1.305 to 1.74 tonnes),CNG,tonne.km,kg CO2e,
Freighting goods,Vans,Class II (1.305 to 1.74 tonnes),LPG,tonne.km,kg CO2e,
Freighting goods,Vans,Class II (1.305 to 1.74 tonnes),Unknown,tonne.km,kg CO2e,
Freighting goods,Vans,Class II (1.305 to 1.74 tonnes),Plug-in Hybrid Electric Vehicle,tonne.km,kg CO2e,
Freighting goods,Vans,Class II (1.305 to 1.74 tonnes),Battery Electric Vehicle,tonne.km,kg CO2e,0.36798
Freighting goods,Vans,Class III (1.74 to 3.5 tonnes),Diesel,tonne.km,kg CO2e,0.61429
Freighting goods,Vans,Class III (1.74 to 3.5 tonnes),Petrol,tonne.km,kg CO2e,0.85852
Freighting goods,Vans,Class III (1.74 to 3.5 tonnes),CNG,tonne.km,kg CO2e,
Freighting goods,Vans,Class III (1.74 to 3.5 tonnes),LPG,tonne.km,kg CO2e,
Freighting goods,Vans,Class III (1.74 to 3.5 tonnes),Unknown,tonne.km,kg CO2e,
Freighting goods,Vans,Class III (1.74 to 3.5 tonnes),Plug-in Hybrid Electric Vehicle,tonne.km,kg CO2e,
Freighting goods,Vans,Class III (1.74 to 3.5 tonnes),Battery Electric Vehicle,tonne.km,kg CO2e,0.29565
Freighting goods,Vans,Average (up to 3.5 tonnes),Diesel,tonne.km,kg CO2e,0.62001
Freighting goods,Vans,Average (up to 3.5 tonnes),Petrol,tonne.km,kg CO2e,0.7696
Freighting goods,Vans,Average (up to 3.5 tonnes),CNG,tonne.km,kg CO2e,0.61038
Freighting goods,Vans,Average (up to 3.5 tonnes),LPG,tonne.km,kg CO2e,0.67106
Freighting goods,Vans,Average (up to 3.5 tonnes),Unknown,tonne.km,kg CO2e,0.62486
Freighting goods,Vans,Average (up to 3.5 tonnes),Plug-in Hybrid Electric Vehicle,tonne.km,kg CO2e,
Freighting goods,Vans,Average (up to 3.5 tonnes),Battery Electric Vehicle,tonne.km,kg CO2e,0.36732
Freighting goods,HGV (all diesel),Rigid (>3.5 - 7.5 tonnes),0% Laden,tonne.km,kg CO2e,
Freighting goods,HGV (all diesel),Rigid (>3.5 - 7.5 tonnes),50% Laden,tonne.km,kg CO2e,0.47538
